DatGeracaoConjuntoDados;CodEmpreendimento;CodCEG;NomEmpreendimento;NumCoordNEmpreendimento;NumCoordEEmpreendimento;IdeStatusHist;IdeUFHist;NumProcesso;NomEmpreendimentoHist;MdaPotencia;DscCursoDagua;DscValorAtoAtivacao;DatAtoAtivacao;DatValidadeAtoOriginal;DscEmpreendedores1;DscEmpreendedores2;DscEmpreendedoresN;DscNumeroAtoProrrogado;DatValidadeProrrogada;DatPublicacaoProrrogada;IdSubBacia;DscSubBacia;DatCargaHistorico;IdeUF;SigUF;NomUF;IdcStatus;DscStatus
2026-07-01;-;;;;;13;10;48500.003726/2015-84;Preto 2;5,500;Preto;812;11/04/2017;2026-12-31 00:00:00;L&S PAR Ltda. e Flora Agro Negócio Ltda. -; -; -;;;;;;;10;BA;Bahia;13;DRS-PCH
2026-07-01;-;;Porto da Bota;;;15;39;48500.002946/2001-79;Porto da Bota;29,600;Piquiri;4.388;26/11/2009;; -; -; -;;;;64;Parana, Paranapanema, Amambai e outros;2026-06-30 09:43:52.357000000;39;PR;Paraná;15;Eixo Disponível
2026-07-01;-;;Porto da Bota;;;15;39;48500.002946/2001-79;Porto da Bota;29,600;Piquiri;4.388;26/11/2009;; -; -; -;;;;64;Parana, Paranapanema, Amambai e outros;2026-06-30 09:43:52.357000000;39;PR;Paraná;15;Eixo Disponível
2026-07-01;-;;Serra do Divisor;;;15;18;;Serra do Divisor;7,500;Cana Brava;2.726;17/11/2020;; -; -; -;;;;21;Tocantins, entre os rios Preto e Parana;2026-06-30 09:43:52.357000000;18;GO;Goiás;15;Eixo Disponível
2026-07-01;000288;UHE.PH.RS.000288-7;Bom Retiro;-29,61;-51,95;14;46;48500.005300/2012-12;Bom Retiro;35,180;Taquari;699;15/03/2023;2031-03-15 00:00:00;AHE Cruzeiro do Sul Energia SPE S.A - 26644209000181; -; -;;;;86;Taquari;2026-06-30 09:43:52.357000000;46;RS;Rio Grande do Sul;14;DRS-UHE
2026-07-01;000601;PCH.PH.MG.000601-7;Caldeirões;-20,43;-43,20;15;26;48100.000775/1994-46;Caldeirões;10,000;Gualaxo do Sul;182;24/11/1994;; -; -; -;;;;56;Doce;2026-06-30 09:43:52.357000000;26;MG;Minas Gerais;15;Eixo Disponível
2026-07-01;000728;PCH.PH.SC.000728-5;Caveiras;-27,82;-50,48;13;48;48500.006070/2020-19;Caveiras;9,400;Caveiras;1.102;02/05/2022;2030-05-02 00:00:00;CELESC Geração S.A - 08336804000178; -; -;;;;71;Canoas;2026-06-30 09:43:52.357000000;48;SC;Santa Catarina;13;DRS-PCH
2026-07-01;000879;UHE.PH.MT.000879-6;Couto Magalhães (Antiga Cachoeira Couto de Magalhães);-17,17;-53,14;15;32;48500.001986/2019-49;Couto Magalhães (Antiga Cachoeira Couto de Magalhães);150,000;Araguaia;435;10/07/2001;; -; -; -;;;;24;Alto Araguaia e rio Claro;2026-06-30 09:43:52.357000000;32;MT;Mato Grosso;15;Eixo Disponível
2026-07-01;000958;PCH.PH.SC.000958-0;Flor do Mato;-26,85;-51,88;13;48;48500.000680/2021-90;Flor do Mato;7,600;Do Mato;2.169;12/08/2022;2030-08-12 00:00:00;Irani Papel e Embalagem S.A. - 92791243000294; -; -;;;;73;Uruguai, Chapeco,Passo Fundo e outros;2026-06-30 09:43:52.357000000;48;SC;Santa Catarina;13;DRS-PCH
2026-07-01;000976;CGH.PH.RS.000976-8;Forquilha;-27,67;-51,75;11;46;48500.904139/2024-01;Forquilha I;7,500;Forquilha;445;25/02/2025;2026-04-25 00:00:00;ESB Engenharia Ltda - 26932738000180; -; -;;;;72;Uruguai, Inhanduva, Peixe e outros;2026-06-30 09:43:52.357000000;46;RS;Rio Grande do Sul;11;DRI-PCH
2026-07-01;000976;CGH.PH.RS.000976-8;Forquilha;-27,67;-51,75;11;46;48500.003727/2025-09;Forquilha I;7,500;Forquilha;446;25/02/2025;2026-04-25 00:00:00;Getop Empreendimentos e Gestão Ltda. - 22048264000158;Vilson Marcos Testa CPF n° ***.187.930-** -;Paulo Victor Azevedo Viana CPF nº ***.628.346-** -;;;;72;Uruguai, Inhanduva, Peixe e outros;2026-06-30 09:43:52.357000000;46;RS;Rio Grande do Sul;11;DRI-PCH
2026-07-01;000976;CGH.PH.RS.000976-8;Forquilha;-27,67;-51,75;11;46;48500.903974/2024-16;Forquilha I;7,500;Forquilha;578;13/03/2025;2026-05-13 00:00:00;Companhia Estadual de Geração de Energia Elétrica – CEEE- G - 22048264000158; -; -;;;;72;Uruguai, Inhanduva, Peixe e outros;2026-06-30 09:43:52.357000000;46;RS;Rio Grande do Sul;11;DRI-PCH
2026-07-01;001358;PCH.PH.RO.001358-7;Machadinho I;-9,45;-61,99;11;44;48500.022351/2025-23;Machadinho I;10,500;Machadinho;2.514;25/08/2025;2026-10-25 00:00:00;Uzzienergy Comercializadora de Energia Ltda - 34894779000158; -; -;;;;15;Madeira;2026-06-30 09:43:52.357000000;44;RO;Rondônia;11;DRI-PCH
2026-07-01;001526;PCH.PH.MS.001526-1;Napoleão de Brito (AMB-175C);-22,93;-54,62;13;30;48500.009476/2022-15;Napoleão de Brito (AMB-175C);10,100;Amambaí;3.105;21/10/2025;2033-10-21 00:00:00;Ecoger – Ecologino Geração de Energias em Matriz Renovável Ltda - 21269866000172; -; -;;;;64;Parana, Paranapanema, Amambai e outros;2026-06-30 09:43:52.357000000;30;MS;Mato Grosso do Sul;13;DRS-PCH
2026-07-01;002593;PCH.PH.SC.002593-3;Salto Cristo Rei;-26,94;-51,90;13;48;48500.005711/2018-01;Salto Cristo Rei;6,000;Irani;2.362;31/08/2022;2030-08-31 00:00:00;Irani Papel e Embalagem S.A - 92791243000103; -; -;;;;73;Uruguai, Chapeco,Passo Fundo e outros;2026-06-30 09:43:52.357000000;48;SC;Santa Catarina;13;DRS-PCH
2026-07-01;027214;PCH.PH.MG.027214-0;Laje;-21,48;-43,06;13;26;48500.003826/2016-91;Laje;13,200;Novo;784;10/04/2018;2026-12-31 00:00:00;Laje Geração de Energia Ltda. - 30229234000176; -; -;;;;58;Paraiba do Sul;2026-06-30 09:43:52.357000000;26;MG;Minas Gerais;13;DRS-PCH
2026-07-01;027422;PCH.PH.MT.027422-4;Ponte de Pedra;-13,58;-57,36;15;32;48500.004366/2000-07;Ponte de Pedra;24,600;Ponte de Pedra;1.042;27/12/2001;; -; -; -;;;;17;Tapajos;2026-06-30 09:43:52.357000000;32;MT;Mato Grosso;15;Eixo Disponível
2026-07-01;027711;PCH.PH.SC.027711-8;Mafrás;-27,03;-49,58;15;48;48500.002764/2007-18;Mafrás;6,100;Itajaí do Norte ou Hercílio;4.009;17/12/2021;; -; -; -;;;;83;Itajai;2026-06-30 09:43:52.357000000;48;SC;Santa Catarina;15;Eixo Disponível
2026-07-01;027820;PCH.PH.MG.027820-3;Cachoeira da Providência;-20,55;-42,68;11;26;48500.035898/2025-99;Cachoeira da Providência;12,000;Casca;3.744;22/12/2025;2027-02-22 00:00:00;Brilhar Participações Ltda - 32116346000146; -; -;;;;56;Doce;2026-06-30 09:43:52.357000000;26;MG;Minas Gerais;11;DRI-PCH
