Protocolo_S2iD;Nome_Municipio;Sigla_UF;Cod_Cobrade;tipologia;descricao_tipologia;grupo_de_desastre;Cod_IBGE_Mun;Status;DH_MORTOS;DH_FERIDOS;DH_ENFERMOS;DH_DESABRIGADOS;DH_DESALOJADOS;DH_DESAPARECIDOS;DH_total_danos_humanos_diretos;DH_OUTROS AFETADOS;DM_total_danos_materiais;PEPL_total_publico;PEPR_total_privado;PE_PLePR;data_evento;data_registro;recorte
RS-P-4301008-12100-19920602;Arroio do Meio;RS;12100;7.00;Inundações;Hidrológico;4301008;Registro;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;1992-06-02;1992-06-02;historico_hidrologico
RS-P-4307807-12100-19920602;Estrela;RS;12100;7.00;Inundações;Hidrológico;4307807;Registro;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;1992-06-02;1992-06-02;historico_hidrologico
RS-P-4312609-12100-19920602;Muçum;RS;12100;7.00;Inundações;Hidrológico;4312609;Registro;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;1992-06-02;1992-06-02;historico_hidrologico
RS-P-4315800-12200-19921116;Roca Sales;RS;12200;2.00;Enxurradas;Hidrológico;4315800;Registro;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;1992-11-16;1992-11-16;historico_hidrologico
RS-P-4306205-12200-19931109;Cruzeiro do Sul;RS;12200;2.00;Enxurradas;Hidrológico;4306205;Registro;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;1993-11-09;1993-11-09;historico_hidrologico
RS-P-4311403-12200-19931222;Lajeado;RS;12200;2.00;Enxurradas;Hidrológico;4311403;Registro;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;1993-12-22;1993-12-22;historico_hidrologico
RS-P-4306205-12200-19940110;Cruzeiro do Sul;RS;12200;2.00;Enxurradas;Hidrológico;4306205;Registro;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;1994-01-10;1994-01-10;historico_hidrologico
RS-P-4315800-12200-19940503;Roca Sales;RS;12200;2.00;Enxurradas;Hidrológico;4315800;Registro;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;1994-05-03;1994-05-03;historico_hidrologico
RS-P-4301008-12200-19970804;Arroio do Meio;RS;12200;2.00;Enxurradas;Hidrológico;4301008;Registro;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;1997-08-04;1997-08-04;historico_hidrologico
RS-P-4301008-12100-20000223;Arroio do Meio;RS;12100;7.00;Inundações;Hidrológico;4301008;Registro;0;0;0;0;0;0;0;0;0,0;0,0;0,0;0,0;2000-02-23;2000-02-23;historico_hidrologico
