barragem;altura_m;cota_NA_m;area_km2;volume_hm3
BAR-A;5;52,0;2,11;5,6
BAR-A;10;57,0;3,75;19,7
BAR-A;15;62,0;7,28;45,1
BAR-A;20;67,0;11,75;91,8
BAR-A;25;72,0;16,25;162,6
BAR-A;30;77,0;20,53;255,4
BAR-A;35;82,0;23,73;366,6
BAR-A;40;87,0;26,67;492,9
BAR-A;45;92,0;29,53;633,5
BAR-A;50;97,0;32,26;787,8
BAR-A;60;107,0;45,23;1150,1
BAR-A;70;117,0;54,14;1648,3
BAR-A;80;127,0;62,46;2231,4
BAR-A2;5;77,0;1,25;3,9
BAR-A2;10;82,0;1,65;11,2
BAR-A2;15;87,0;2,14;20,7
BAR-A2;20;92,0;2,61;32,5
BAR-A2;25;97,0;3,02;46,5
BAR-A2;30;102,0;3,39;62,7
BAR-A2;35;107,0;11,37;93,9
BAR-A2;40;112,0;13,53;156,2
BAR-A2;45;117,0;15,47;229,0
BAR-A2;50;122,0;17,21;310,8
BAR-A2;60;132,0;21,05;502,4
BAR-A2;70;142,0;24,83;732,0
BAR-A2;80;152,0;30,1;1003,5
BAR-B;5;77,0;0,25;0,5
BAR-B;10;82,0;0,6;2,6
BAR-B;15;87,0;0,89;6,3
BAR-B;20;92,0;1,16;11,4
BAR-B;25;97,0;1,7;18,5
BAR-B;30;102,0;2,13;28,0
BAR-B;35;107,0;2,81;40,3
BAR-B;40;112,0;3,39;56,0
BAR-B;45;117,0;3,98;74,4
BAR-B;50;122,0;4,58;95,8
BAR-B;60;132,0;5,91;148,5
BAR-B;70;142,0;7,57;215,5
BAR-B;80;152,0;9,43;300,5
