barragem;altura_m;cota_NA_m;area_km2;volume_hm3
Ponto-Barragem1;5;62,0;2,03;3,1
Ponto-Barragem1;10;67,0;3,49;16,0
Ponto-Barragem1;15;72,0;5,5;38,2
Ponto-Barragem1;20;77,0;8,25;73,3
Ponto-Barragem1;25;82,0;10,18;119,5
Ponto-Barragem1;30;87,0;11,95;174,8
Ponto-Barragem1;35;92,0;13,72;239,1
Ponto-Barragem1;40;97,0;15,5;312,1
Ponto-Barragem1;45;102,0;17,07;393,6
Ponto-Barragem1;50;107,0;26,57;497,1
Ponto-Barragem1;60;117,0;33,47;798,3
Ponto-Barragem1;70;127,0;40,04;1165,8
Ponto-Barragem1;80;137,0;46,75;1599,6
Ponto-Barragem1;90;147,0;54,04;2103,4
Ponto-Barragem1;100;157,0;62,97;2690,6
Ponto_Barragem2;5;74,0;0,29;0,7
Ponto_Barragem2;10;79,0;0,65;3,0
Ponto_Barragem2;15;84,0;1,08;7,4
Ponto_Barragem2;20;89,0;1,43;13,6
Ponto_Barragem2;25;94,0;1,86;21,6
Ponto_Barragem2;30;99,0;2,41;32,4
Ponto_Barragem2;35;104,0;3,03;45,7
Ponto_Barragem2;40;109,0;3,73;62,7
Ponto_Barragem2;45;114,0;4,32;82,9
Ponto_Barragem2;50;119,0;5,0;106,2
Ponto_Barragem2;60;129,0;6,44;163,3
Ponto_Barragem2;70;139,0;8,06;235,2
Ponto_Barragem2;80;149,0;10,07;325,8
Ponto_Barragem2;90;159,0;12,11;436,4
Ponto_Barragem2;100;169,0;14,26;567,9
Ponto_Barragem3;5;77,5;1,0;3,3
Ponto_Barragem3;10;82,5;1,35;9,2
Ponto_Barragem3;15;87,5;1,79;17,1
Ponto_Barragem3;20;92,5;2,17;27,0
Ponto_Barragem3;25;97,5;2,55;38,8
Ponto_Barragem3;30;102,5;2,87;52,3
Ponto_Barragem3;35;107,5;10,98;84,7
Ponto_Barragem3;40;112,5;13,12;144,8
Ponto_Barragem3;45;117,5;14,98;215,3
Ponto_Barragem3;50;122,5;16,68;294,5
Ponto_Barragem3;60;132,5;20,47;480,6
Ponto_Barragem3;70;142,5;24,2;704,1
Ponto_Barragem3;80;152,5;29,4;969,5
Ponto_Barragem3;90;162,5;34,2;1286,9
Ponto_Barragem3;100;172,5;39,69;1655,8
