eixo;altura_m;cota_NA_m;area_alagada_km2;volume_hm3
E01;10;82,5;0,61;2,6
E01;15;87,5;0,88;6,3
E01;20;92,5;1,17;11,4
E01;25;97,5;1,71;18,6
E01;30;102,5;2,15;28,2
E01;35;107,5;2,84;40,8
E01;40;112,5;3,41;56,5
E01;45;117,5;4,01;75,0
E01;50;122,5;4,6;96,5
E01;55;127,5;5,29;121,3
E01;60;132,5;5,94;149,3
E01;65;137,5;6,7;180,8
E01;70;142,5;7,58;216,4
E01;75;147,5;8,5;256,6
E01;80;152,5;9,42;301,5
E01;85;157,5;10,38;350,9
E01;90;162,5;11,31;405,2
E01;95;167,5;12,32;464,4
E01;100;172,5;13,33;528,6
E01;105;177,5;14,27;597,6
E01;110;182,5;16,2;672,9
E01;115;187,5;17,36;756,9
E01;120;192,5;18,51;846,6
E10;10;81,5;1,7;11,2
E10;15;86,5;2,21;20,8
E10;20;91,5;2,7;33,1
E10;25;96,5;3,12;47,6
E10;30;101,5;3,52;64,3
E10;35;106,5;11,23;92,6
E10;40;111,5;13,49;154,6
E10;45;116,5;15,53;227,3
E10;50;121,5;17,25;309,2
E10;55;126,5;19,16;400,4
E10;60;131,5;21,06;501,0
E10;65;136,5;22,96;611,1
E10;70;141,5;24,86;730,9
E10;75;146,5;26,83;860,1
E10;80;151,5;30,09;1001,9
E10;85;156,5;32,35;1158,1
E10;90;161,5;34,9;1326,4
E10;95;166,5;37,59;1507,6
E10;100;171,5;40,45;1702,5
E10;105;176,5;43,26;1911,9
E10;110;181,5;46,13;2135,3
E10;115;186,5;49,18;2373,6
E10;120;191,5;52,52;2627,6
E12;10;57,0;3,78;20,0
E12;15;62,0;7,32;45,5
E12;20;67,0;11,79;92,3
E12;25;72,0;16,29;163,3
E12;30;77,0;20,58;256,5
E12;35;82,0;23,79;367,9
E12;40;87,0;26,73;494,5
E12;45;92,0;29,6;635,4
E12;50;97,0;32,32;790,1
E12;55;102,0;34,86;958,2
E12;60;107,0;45,31;1153,1
E12;65;112,0;49,88;1391,6
E12;70;117,0;54,22;1652,1
E12;75;122,0;58,29;1933,5
E12;80;127,0;62,55;2236,1
E12;85;132,0;66,68;2559,2
E12;90;137,0;70,97;2903,6
E12;95;142,0;75,34;3269,5
E12;100;147,0;79,83;3657,5
E12;105;152,0;85,53;4071,1
E12;110;157,0;90,31;4510,4
E12;115;162,0;95,32;4974,3
E12;120;167,0;100,78;5464,6
E09;10;116,0;2,28;14,6
E09;15;121,0;2,74;27,1
E09;20;126,0;3,43;42,7
E09;25;131,0;4,2;61,7
E09;30;136,0;4,95;84,5
E09;35;141,0;5,75;111,3
E09;40;146,0;6,55;142,0
E09;45;151,0;8,61;178,8
E09;50;156,0;9,74;224,8
E09;55;161,0;10,96;276,4
E09;60;166,0;12,3;334,5
E09;65;171,0;13,75;399,4
E09;70;176,0;15,21;471,9
E09;75;181,0;16,67;551,6
E09;80;186,0;18,22;638,7
E09;85;191,0;19,98;734,1
E09;90;196,0;21,89;838,9
E09;95;201,0;23,58;952,6
E09;100;206,0;25,32;1074,9
E09;105;211,0;27,14;1206,0
E09;110;216,0;29,05;1346,5
E09;115;221,0;31,04;1496,7
E09;120;226,0;33,02;1657,0
E11;10;67,5;3,65;17,5
E11;15;72,5;5,89;40,6
E11;20;77,5;8,39;76,9
E11;25;82,5;10,34;123,9
E11;30;87,5;12,07;179,9
E11;35;92,5;13,82;244,7
E11;40;97,5;15,62;318,4
E11;45;102,5;17,19;400,3
E11;50;107,5;26,89;508,4
E11;55;112,5;30,43;651,7
E11;60;117,5;33,74;812,3
E11;65;122,5;36,9;989,0
E11;70;127,5;40,31;1182,5
E11;75;132,5;43,63;1392,3
E11;80;137,5;47,03;1618,9
E11;85;142,5;50,64;1863,2
E11;90;147,5;54,31;2125,5
E11;95;152,5;59,24;2410,2
E11;100;157,5;63,32;2716,4
E11;105;162,5;67,47;3043,1
E11;110;167,5;71,98;3391,9
E11;115;172,5;76,7;3763,7
E11;120;177,5;81,29;4158,8
E07;10;159,5;1,27;9,3
E07;15;164,5;1,72;16,9
E07;20;169,5;2,13;26,4
E07;25;174,5;2,69;38,5
E07;30;179,5;3,06;52,9
E07;35;184,5;3,48;69,1
E07;40;189,5;3,94;87,7
E07;45;194,5;4,69;109,3
E07;50;199,5;5,21;134,1
E07;55;204,5;5,8;161,7
E07;60;209,5;6,38;192,2
E07;65;214,5;6,96;225,6
E07;70;219,5;7,56;261,9
E07;75;224,5;8,19;301,4
E07;80;229,5;8,84;344,2
E07;85;234,5;9,51;390,2
E07;90;239,5;13,94;442,1
E07;95;244,5;16,65;519,8
E07;100;249,5;18,2;606,9
E07;105;254,5;20,24;702,8
E07;110;259,5;22,13;808,7
E07;115;264,5;24,32;924,8
E07;120;269,5;26,37;1051,7
E08;10;158,0;1,96;13,5
E08;15;163,0;2,58;24,8
E08;20;168,0;3,16;39,1
E08;25;173,0;3,96;56,8
E08;30;178,0;4,63;78,3
E08;35;183,0;5,32;103,1
E08;40;188,0;6,14;131,7
E08;45;193,0;7,16;164,7
E08;50;198,0;8,09;202,9
E08;55;203,0;8,91;245,5
E08;60;208,0;9,86;292,5
E08;65;213,0;10,86;344,2
E08;70;218,0;11,92;401,2
E08;75;223,0;13,03;463,5
E08;80;228,0;14,14;531,6
E08;85;233,0;15,25;605,2
E08;90;238,0;16,77;684,6
E08;95;243,0;22,92;787,7
E08;100;248,0;24,81;906,9
E08;105;253,0;27,77;1036,7
E08;110;258,0;30,18;1181,6
E08;115;263,0;32,73;1338,8
E08;120;268,0;35,56;1509,8
E03;10;159,5;0,26;1,7
E03;15;164,5;0,36;3,2
E03;20;169,5;0,5;5,3
E03;25;174,5;0,7;8,3
E03;30;179,5;0,91;12,3
E03;35;184,5;1,13;17,4
E03;40;189,5;1,44;23,8
E03;45;194,5;1,75;31,8
E03;50;199,5;2,01;41,2
E03;55;204,5;2,27;51,8
E03;60;209,5;2,58;63,8
E03;65;214,5;2,98;77,7
E03;70;219,5;3,37;93,5
E03;75;224,5;3,82;111,5
E03;80;229,5;4,21;131,5
E03;85;234,5;4,61;153,7
E03;90;239,5;4,94;177,6
E03;95;244,5;5,29;203,2
E03;100;249,5;5,6;230,4
E03;105;254,5;6,67;260,7
E03;110;259,5;7,05;295,0
E03;115;264,5;7,57;331,6
E03;120;269,5;8,18;370,9
E05;10;177,0;0,34;1,7
E05;15;182,0;0,42;3,6
E05;20;187,0;0,59;6,0
E05;25;192,0;0,88;9,5
E05;30;197,0;1,17;14,7
E05;35;202,0;1,4;21,1
E05;40;207,0;1,63;28,7
E05;45;212,0;1,85;37,4
E05;50;217,0;2,1;47,3
E05;55;222,0;2,34;58,4
E05;60;227,0;2,63;71,0
E05;65;232,0;2,91;84,8
E05;70;237,0;3,55;100,2
E05;75;242,0;8,95;131,1
E05;80;247,0;10,15;178,9
E05;85;252,0;11,58;232,9
E05;90;257,0;13,24;295,1
E05;95;262,0;15,02;365,4
E05;100;267,0;16,79;445,0
E05;105;272,0;18,38;533,0
E05;110;277,0;20,3;630,1
E05;115;282,0;22,29;736,7
E05;120;287,0;24,44;853,5
E02;10;303,0;1,31;8,2
E02;15;308,0;1,66;15,8
E02;20;313,0;2,21;25,4
E02;25;318,0;2,76;37,8
E02;30;323,0;3,35;53,1
E02;35;328,0;3,99;71,6
E02;40;333,0;4,7;93,4
E02;45;338,0;5,41;118,7
E02;50;343,0;6,26;147,8
E02;55;348,0;7,35;181,9
E02;60;353,0;8,68;222,0
E02;65;358,0;10,27;269,4
E02;70;363,0;12,06;325,5
E02;75;368,0;13,69;389,9
E02;80;373,0;15,4;462,8
E02;85;378,0;17,1;544,0
E02;90;383,0;19,06;634,6
E02;95;388,0;20,84;734,4
E02;100;393,0;22,63;843,2
E02;105;398,0;24,6;961,6
E02;110;403,0;26,66;1089,8
E02;115;408,0;28,71;1228,3
E02;120;413,0;30,78;1377,4
E04;10;249,0;3,76;28,4
E04;15;254,0;4,81;49,5
E04;20;259,0;5,73;75,9
E04;25;264,0;6,97;107,5
E04;30;269,0;8,04;145,1
E04;35;274,0;8,98;187,7
E04;40;279,0;10,38;236,6
E04;45;284,0;11,73;291,8
E04;50;289,0;13,31;354,3
E04;55;294,0;14,76;424,5
E04;60;299,0;16,49;502,8
E04;65;304,0;18,23;590,1
E04;70;309,0;20,06;686,4
E04;75;314,0;21,89;791,6
E04;80;319,0;23,75;905,8
E04;85;324,0;25,77;1029,5
E04;90;329,0;27,96;1163,9
E04;95;334,0;30,26;1310,1
E04;100;339,0;32,47;1467,0
E04;105;344,0;34,73;1635,3
E04;110;349,0;37,05;1814,5
E04;115;354,0;39,53;2006,1
E04;120;359,0;42,31;2210,7
E06;10;159,5;0,95;6,5
E06;15;164,5;1,35;12,3
E06;20;169,5;1,72;20,0
E06;25;174,5;2,25;29,8
E06;30;179,5;2,58;41,9
E06;35;184,5;2,96;55,7
E06;40;189,5;3,38;71,6
E06;45;194,5;4,1;90,3
E06;50;199,5;4,58;112,0
E06;55;204,5;5,15;136,4
E06;60;209,5;5,69;163,6
E06;65;214,5;6,25;193,5
E06;70;219,5;6,81;226,1
E06;75;224,5;7,41;261,8
E06;80;229,5;8,03;300,6
E06;85;234,5;8,66;342,5
E06;90;239,5;13,07;390,1
E06;95;244,5;15,75;463,3
E06;100;249,5;17,26;545,7
E06;105;254,5;19,28;636,9
E06;110;259,5;21,13;737,9
E06;115;264,5;23,28;848,9
E06;120;269,5;25,29;970,5
