barragem;altura_m;cota_eixo_m;cota_NA_m;cota_crista_m;area_controlada_km2;L_crista_m;V_aterro_hm3;area_alagada_km2;volume_hm3;custo_aterro_MRS;custo_vertedouro_MRS;custo_desapropr_MRS;custo_total_MRS
B1;20;57,0;77,0;80,0;15457,1;386,6;0,392;8,25;73,3;35,3;3,1;37,1;101,9
B1;25;57,0;82,0;85,0;15457,1;415,2;0,588;10,18;119,5;52,9;3,3;45,8;137,8
B1;30;57,0;87,0;90,0;15457,1;501,1;0,831;11,95;174,8;74,8;4,0;53,8;179,0
B1;35;57,0;92,0;95,0;15457,1;501,1;1,129;13,72;239,1;101,6;4,0;61,7;225,9
B1;40;57,0;97,0;100,0;15457,1;558,4;1,483;15,5;312,1;133,5;4,5;69,8;280,4
B1;45;57,0;102,0;105,0;15457,1;615,7;1,9;17,07;393,6;171,0;4,9;76,8;341,2
B1;50;57,0;107,0;110,0;15457,1;615,7;2,386;26,57;497,1;214,7;4,9;119,6;458,0
B1;55;57,0;112,0;115,0;15457,1;644,3;2,94;30,12;639,0;264,6;5,2;135,6;547,2
B1;60;57,0;117,0;120,0;15457,1;673,0;3,568;33,47;798,3;321,1;5,4;150,6;644,1
B1;65;57,0;122,0;125,0;15457,1;673,0;4,27;36,66;973,8;384,3;5,4;164,9;748,8
B1;70;57,0;127,0;130,0;15457,1;730,2;5,049;40,04;1165,8;454,4;5,8;180,2;864,6
B1;75;57,0;132,0;135,0;15457,1;758,9;5,909;43,34;1374,3;531,8;6,1;195,0;989,4
B1;80;57,0;137,0;140,0;15457,1;787,5;6,853;46,75;1599,6;616,8;6,3;210,4;1125,1
B1;85;57,0;142,0;145,0;15457,1;787,5;7,883;50,34;1842,5;709,5;6,3;226,5;1272,1
B1;90;57,0;147,0;150,0;15457,1;816,2;9,001;54,04;2103,4;810,1;6,5;243,2;1430,7
B1;95;57,0;152,0;155,0;15457,1;816,2;10,21;58,97;2386,0;918,9;6,5;265,3;1607,5
B1;100;57,0;157,0;160,0;15457,1;844,8;11,509;62,97;2690,6;1035,8;6,8;283,3;1790,0
B1;105;57,0;162,0;165,0;15457,1;873,4;12,903;67,13;3015,7;1161,3;7,0;302,1;1985,0
B1;110;57,0;167,0;170,0;15457,1;873,4;14,393;71,65;3362,7;1295,4;7,0;322,4;2193,5
