barragem;estaca_m;cota_m;cota_eixo_m
B1;-6000,0;239,98;57,0
B1;-5985,7;234,92;57,0
B1;-5971,4;234,92;57,0
B1;-5957,0;232,84;57,0
B1;-5942,7;232,84;57,0
B1;-5928,4;233,44;57,0
B1;-5914,1;233,44;57,0
B1;-5899,8;237,06;57,0
B1;-5885,5;237,06;57,0
B1;-5871,1;238,27;57,0
B1;-5856,8;238,27;57,0
B1;-5842,5;236,79;57,0
B1;-5828,2;236,79;57,0
B1;-5813,9;232,49;57,0
B1;-5799,5;232,49;57,0
B1;-5785,2;226,98;57,0
B1;-5770,9;226,98;57,0
B1;-5756,6;225,76;57,0
B1;-5742,3;225,76;57,0
B1;-5727,9;224,91;57,0
B1;-5713,6;224,91;57,0
B1;-5699,3;225,26;57,0
B1;-5685,0;225,26;57,0
B1;-5670,7;226,68;57,0
B1;-5656,4;226,68;57,0
B1;-5642,0;227,02;57,0
B1;-5627,7;227,02;57,0
B1;-5613,4;228,44;57,0
B1;-5599,1;228,44;57,0
B1;-5584,8;234,28;57,0
B1;-5570,4;234,28;57,0
B1;-5556,1;237,83;57,0
B1;-5541,8;237,83;57,0
B1;-5527,5;240,77;57,0
B1;-5513,2;240,77;57,0
B1;-5498,9;244,67;57,0
B1;-5484,5;244,67;57,0
B1;-5470,2;247,03;57,0
B1;-5455,9;247,03;57,0
B1;-5441,6;250,02;57,0
B1;-5427,3;250,02;57,0
B1;-5412,9;251,9;57,0
B1;-5398,6;251,9;57,0
B1;-5384,3;256,24;57,0
B1;-5370,0;256,24;57,0
B1;-5355,7;261,81;57,0
B1;-5341,3;261,81;57,0
B1;-5327,0;269,51;57,0
B1;-5312,7;269,51;57,0
B1;-5298,4;277,95;57,0
B1;-5284,1;277,95;57,0
B1;-5269,8;284,9;57,0
B1;-5255,4;284,9;57,0
B1;-5241,1;290,95;57,0
B1;-5226,8;290,95;57,0
B1;-5212,5;298,98;57,0
B1;-5198,2;298,98;57,0
B1;-5183,8;309,85;57,0
B1;-5169,5;309,85;57,0
B1;-5155,2;320,46;57,0
B1;-5140,9;320,46;57,0
B1;-5126,6;326,13;57,0
B1;-5112,3;326,13;57,0
B1;-5097,9;336,95;57,0
B1;-5083,6;336,95;57,0
B1;-5069,3;346,62;57,0
B1;-5055,0;346,62;57,0
B1;-5040,7;357,0;57,0
B1;-5026,3;357,0;57,0
B1;-5012,0;365,23;57,0
B1;-4997,7;365,23;57,0
B1;-4983,4;378,23;57,0
B1;-4969,1;378,23;57,0
B1;-4954,7;386,66;57,0
B1;-4940,4;386,66;57,0
B1;-4926,1;389,57;57,0
B1;-4911,8;389,57;57,0
B1;-4897,5;393,98;57,0
B1;-4883,2;393,98;57,0
B1;-4868,8;399,86;57,0
B1;-4854,5;399,86;57,0
B1;-4840,2;400,0;57,0
B1;-4825,9;400,0;57,0
B1;-4811,6;401,79;57,0
B1;-4797,2;401,79;57,0
B1;-4782,9;408,87;57,0
B1;-4768,6;408,87;57,0
B1;-4754,3;412,82;57,0
