eixo;montante;area_eixo_km2;area_montante_km2
E10;E09;12778,1;12330,0
E10;E07;12778,1;8173,5
E10;E08;12778,1;11950,5
E10;E03;12778,1;3771,8
E10;E05;12778,1;7922,8
E10;E02;12778,1;3591,2
E10;E04;12778,1;7497,5
E10;E06;12778,1;8158,8
E12;E01;15759,8;2548,8
E12;E10;15759,8;12778,1
E12;E09;15759,8;12330,0
E12;E11;15759,8;15456,9
E12;E07;15759,8;8173,5
E12;E08;15759,8;11950,5
E12;E03;15759,8;3771,8
E12;E05;15759,8;7922,8
E12;E02;15759,8;3591,2
E12;E04;15759,8;7497,5
E12;E06;15759,8;8158,8
E09;E07;12330,0;8173,5
E09;E08;12330,0;11950,5
E09;E03;12330,0;3771,8
E09;E05;12330,0;7922,8
E09;E02;12330,0;3591,2
E09;E04;12330,0;7497,5
E09;E06;12330,0;8158,8
E11;E01;15456,9;2548,8
E11;E10;15456,9;12778,1
E11;E09;15456,9;12330,0
E11;E07;15456,9;8173,5
E11;E08;15456,9;11950,5
E11;E03;15456,9;3771,8
E11;E05;15456,9;7922,8
E11;E02;15456,9;3591,2
E11;E04;15456,9;7497,5
E11;E06;15456,9;8158,8
E07;E05;8173,5;7922,8
E07;E04;8173,5;7497,5
E07;E06;8173,5;8158,8
E08;E07;11950,5;8173,5
E08;E03;11950,5;3771,8
E08;E05;11950,5;7922,8
E08;E02;11950,5;3591,2
E08;E04;11950,5;7497,5
E08;E06;11950,5;8158,8
E03;E02;3771,8;3591,2
E05;E04;7922,8;7497,5
E06;E05;8158,8;7922,8
E06;E04;8158,8;7497,5
