eixo;rotulo_kmz;altura_m;cota_eixo_m;cota_NA_m;cota_crista_m;area_controlada_km2;L_crista_m;V_aterro_hm3;area_alagada_km2;volume_hm3;custo_total_MRS
E03;EIXO-B#00;10;71,5;81,5;84,5;2550,4;214,8;0,062;0,61;2,5;13,6
E03;EIXO-B#00;15;71,5;86,5;89,5;2550,4;214,8;0,125;0,9;6,3;23,0
E03;EIXO-B#00;20;71,5;91,5;94,5;2550,4;243,4;0,21;1,19;11,5;35,4
E03;EIXO-B#00;25;71,5;96,5;99,5;2550,4;272,1;0,323;1,71;18,6;52,6
E03;EIXO-B#00;30;71,5;101,5;104,5;2550,4;300,7;0,466;2,14;28,2;72,9
E03;EIXO-B#00;35;71,5;106,5;109,5;2550,4;300,7;0,641;2,83;40,6;98,3
E03;EIXO-B#00;40;71,5;111,5;114,5;2550,4;329,3;0,851;3,41;56,3;127,6
E03;EIXO-B#00;45;71,5;116,5;119,5;2550,4;329,3;1,096;4,0;74,7;161,0
E03;EIXO-B#00;50;71,5;121,5;124,5;2550,4;358,0;1,378;4,61;96,3;199,3
E03;EIXO-B#00;55;71,5;126,5;129,5;2550,4;386,6;1,702;5,3;121,1;243,2
E03;EIXO-B#00;60;71,5;131,5;134,5;2550,4;415,2;2,068;5,94;149,2;291,8
E03;EIXO-B#00;65;71,5;136,5;139,5;2550,4;415,2;2,479;6,71;180,8;346,4
E03;EIXO-B#00;70;71,5;141,5;144,5;2550,4;472,5;2,94;7,6;216,5;408,5
E03;EIXO-B#00;75;71,5;146,5;149,5;2550,4;501,1;3,454;8,52;256,7;476,8
E03;EIXO-B#00;80;71,5;151,5;154,5;2550,4;558,4;4,025;9,47;301,7;552,6
E03;EIXO-B#00;85;71,5;156,5;159,5;2550,4;587,1;4,661;10,42;351,4;636,0
E03;EIXO-B#00;90;71,5;161,5;164,5;2550,4;644,3;5,362;11,39;406,0;727,6
E03;EIXO-B#00;95;71,5;166,5;169,5;2550,4;730,2;6,136;12,42;465,5;828,9
E03;EIXO-B#00;100;71,5;171,5;174,5;2550,4;730,2;6,992;13,45;530,2;939,1
E03;EIXO-B#00;105;71,5;176,5;179,5;2550,4;730,2;7,928;14,43;599,9;1058,8
E03;EIXO-B#00;110;71,5;181,5;184,5;2550,4;758,9;8,945;16,28;675,1;1193,9
E03;EIXO-B#00;115;71,5;186,5;189,5;2550,4;787,5;10,048;17,52;759,7;1335,8
E03;EIXO-B#00;120;71,5;191,5;194,5;2550,4;816,2;11,239;18,7;850,3;1487,9
E02;EIXO-FQ1-PROPOSTO — Forqueta inferior#01;10;22,5;32,5;35,5;2350,1;1102,5;0,174;1,64;5,2;43,0
E02;EIXO-FQ1-PROPOSTO — Forqueta inferior#01;15;22,5;37,5;40,5;2350,1;1703,9;0,547;4,82;21,0;114,2
E02;EIXO-FQ1-PROPOSTO — Forqueta inferior#01;20;22,5;42,5;45,5;2350,1;2076,2;1,085;9,97;58,7;214,8
E02;EIXO-FQ1-PROPOSTO — Forqueta inferior#01;25;22,5;47,5;50,5;2350,1;2133,5;1,859;15,52;122,8;343,2
E02;EIXO-FQ1-PROPOSTO — Forqueta inferior#01;30;22,5;52,5;55,5;2350,1;3049,8;3,146;21,57;215,3;546,2
E02;EIXO-FQ1-PROPOSTO — Forqueta inferior#01;35;22,5;57,5;60,5;2350,1;3221,7;4,646;27,46;338,0;766,1
E02;EIXO-FQ1-PROPOSTO — Forqueta inferior#01;40;22,5;62,5;65,5;2350,1;3622,6;6,546;32,85;489,4;1034,0
E02;EIXO-FQ1-PROPOSTO — Forqueta inferior#01;45;22,5;67,5;70,5;2350,1;4539,0;9,206;37,02;664,4;1392,5
E02;EIXO-FQ1-PROPOSTO — Forqueta inferior#01;50;22,5;72,5;75,5;2350,1;6171,3;15,42;41,13;860,3;2190,0
E02;EIXO-FQ1-PROPOSTO — Forqueta inferior#01;55;22,5;77,5;80,5;2350,1;6314,5;19,945;44,98;1075,6;2764,8
E02;EIXO-FQ1-PROPOSTO — Forqueta inferior#01;60;22,5;82,5;85,5;2350,1;6600,8;25,193;48,7;1310,1;3428,1
E02;EIXO-FQ1-PROPOSTO — Forqueta inferior#01;65;22,5;87,5;90,5;2350,1;6715,4;31,188;52,4;1562,7;4180,2
E02;EIXO-FQ1-PROPOSTO — Forqueta inferior#01;70;22,5;92,5;95,5;2350,1;6772,7;37,94;55,85;1833,5;5022,1
E02;EIXO-FQ1-PROPOSTO — Forqueta inferior#01;75;22,5;97,5;100,5;2350,1;6858,6;45,457;59,07;2120,7;5956,0
E02;EIXO-FQ1-PROPOSTO — Forqueta inferior#01;80;22,5;102,5;105,5;2350,1;6915,8;53,746;62,4;2424,3;6983,9
E02;EIXO-FQ1-PROPOSTO — Forqueta inferior#01;85;22,5;107,5;110,5;2350,1;7059,0;62,821;65,92;2745,2;8109,5
E02;EIXO-FQ1-PROPOSTO — Forqueta inferior#01;90;22,5;112,5;115,5;2350,1;7144,9;72,692;69,65;3084,6;9332,4
E02;EIXO-FQ1-PROPOSTO — Forqueta inferior#01;95;22,5;117,5;120,5;2350,1;9550,5;101,596;73,38;3442,0;12892,8
E02;EIXO-FQ1-PROPOSTO — Forqueta inferior#01;100;22,5;122,5;125,5;2350,1;10209,1;117,127;77,3;3818,9;14810,8
E02;EIXO-FQ1-PROPOSTO — Forqueta inferior#01;105;22,5;127,5;130,5;2350,1;10237,7;133,163;81,21;4215,3;16783,2
E02;EIXO-FQ1-PROPOSTO — Forqueta inferior#01;110;22,5;132,5;135,5;2350,1;10237,7;150,351;84,94;4630,8;18894,2
