eixo;montante;area_eixo_km2;area_montante_km2
E06;E05;7922,5;7497,2
E07;E05;8158,7;7497,2
E07;E06;8158,7;7922,5
E08;E05;8173,5;7497,2
E08;E06;8173,5;7922,5
E08;E07;8173,5;8158,7
E09;E05;11950,1;7497,2
E09;E03;11950,1;3590,9
E09;E06;11950,1;7922,5
E09;E07;11950,1;8158,7
E09;E08;11950,1;8173,5
E09;E04;11950,1;3771,7
E04;E03;3771,7;3590,9
E12;E02;15456,5;2550,4
E12;E05;15456,5;7497,2
E12;E03;15456,5;3590,9
E12;E06;15456,5;7922,5
E12;E07;15456,5;8158,7
E12;E08;15456,5;8173,5
E12;E09;15456,5;11950,1
E12;E04;15456,5;3771,7
E12;E11;15456,5;12777,2
E12;E10;15456,5;12330,0
E13;E02;15759,1;2550,4
E13;E05;15759,1;7497,2
E13;E03;15759,1;3590,9
E13;E06;15759,1;7922,5
E13;E07;15759,1;8158,7
E13;E08;15759,1;8173,5
E13;E09;15759,1;11950,1
E13;E04;15759,1;3771,7
E13;E12;15759,1;15456,5
E13;E11;15759,1;12777,2
E13;E10;15759,1;12330,0
E11;E05;12777,2;7497,2
E11;E03;12777,2;3590,9
E11;E06;12777,2;7922,5
E11;E07;12777,2;8158,7
E11;E08;12777,2;8173,5
E11;E09;12777,2;11950,1
E11;E04;12777,2;3771,7
E11;E10;12777,2;12330,0
E10;E05;12330,0;7497,2
E10;E03;12330,0;3590,9
E10;E06;12330,0;7922,5
E10;E07;12330,0;8158,7
E10;E08;12330,0;8173,5
E10;E09;12330,0;11950,1
E10;E04;12330,0;3771,7
