eixo;fonte;area_km2;area_BHO_km2;cota_eixo_m;lat;lon;tipo_geom;compr_eixo_m;codigo;ordem;n_montante;eixos_montante;area_incremental_km2
EIXO-B#00;EUROCLIMA-rev.kmz;2548,8;2547,2;72,5;-29,05815;-51,71886;LineString;2212,1;E02;2;0;;2548,8
EIXO-C#01;EUROCLIMA-rev.kmz;12778,1;12877,0;71,5;-29,08121;-51,65841;LineString;1582,1;E11;11;9;E01,E03,E04,E05,E06,E07,E08,E09,E10;1689,4
EIXO-A#02;EUROCLIMA-rev.kmz;15759,8;15852,0;47,0;-29,16034;-51,83617;LineString;2573,6;E13;13;12;E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12;2122,3
EIXO#03;EUROCLIMA-rev.kmz;12330,0;12423,8;106,0;-29,03899;-51,56402;LineString;1184,8;E10;10;8;E01,E03,E04,E05,E06,E07,E08,E09;1241,3
EIXO#04;EUROCLIMA-rev.kmz;15456,9;15547,1;57,5;-29,15101;-51,75336;LineString;1749,3;E12;12;11;E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11;1819,4
EIXO#05;EUROCLIMA-rev.kmz;8173,5;8264,0;149,5;-29,01634;-51,47098;LineString;1146,3;E08;8;3;E05,E06,E07;676,0
EIXO#06;EUROCLIMA-rev.kmz;11950,5;12041,5;148,0;-29,02665;-51,47985;LineString;1226,8;E09;9;6;E03,E04,E05,E06,E07,E08;861,8
EIXO#07;EUROCLIMA-rev.kmz;3771,8;3776,0;149,5;-29,00755;-51,47182;LineString;1106,7;E04;4;1;E03;180,6
EIXO#08;EUROCLIMA-rev.kmz;7922,8;8012,6;167,0;-29,06527;-51,36411;LineString;1773,9;E06;6;1;E05;425,3
EIXO#09;EUROCLIMA-rev.kmz;3591,2;3593,7;293,0;-28,86104;-51,45912;LineString;1672,8;E03;3;0;;3591,2
EIXO#10;EUROCLIMA-rev.kmz;7497,5;7588,1;239,0;-28,95838;-51,3176;LineString;2857,2;E05;5;0;;7497,5
EIXO#11;EUROCLIMA-rev.kmz;8158,8;8249,7;149,5;-29,02621;-51,45749;LineString;1191,5;E07;7;2;E05,E06;661,3
EIXO-MONTECLARO2#12;EIXO-MONTECLARO2.kmz;0,0;12423,8;107,5;-29,04496;-51,55729;LineString;821,5;E01;1;0;;0,0
