eixo;rotulo_kmz;altura_m;cota_eixo_m;cota_NA_m;cota_crista_m;area_controlada_km2;L_crista_m;V_aterro_hm3;area_alagada_km2;volume_hm3;custo_total_MRS
E02;EIXO-B#00;10;72,5;82,5;85,5;2548,8;186,1;0,052;0,61;2,6;12,0
E02;EIXO-B#00;15;72,5;87,5;90,5;2548,8;214,8;0,104;0,88;6,3;20,3
E02;EIXO-B#00;20;72,5;92,5;95,5;2548,8;214,8;0,177;1,17;11,4;30,9
E02;EIXO-B#00;25;72,5;97,5;100,5;2548,8;243,4;0,276;1,71;18,6;46,5
E02;EIXO-B#00;30;72,5;102,5;105,5;2548,8;243,4;0,401;2,15;28,2;64,4
E02;EIXO-B#00;35;72,5;107,5;110,5;2548,8;272,1;0,553;2,84;40,8;87,4
E02;EIXO-B#00;40;72,5;112,5;115,5;2548,8;272,1;0,733;3,41;56,5;112,7
E02;EIXO-B#00;45;72,5;117,5;120,5;2548,8;300,7;0,945;4,01;75,0;142,4
E02;EIXO-B#00;50;72,5;122,5;125,5;2548,8;358,0;1,191;4,6;96,5;176,5
E02;EIXO-B#00;55;72,5;127,5;130,5;2548,8;358,0;1,476;5,29;121,3;215,3
E02;EIXO-B#00;60;72,5;132,5;135,5;2548,8;358,0;1,799;5,94;149,3;258,5
E02;EIXO-B#00;65;72,5;137,5;140,5;2548,8;415,2;2,162;6,7;180,8;307,8
E02;EIXO-B#00;70;72,5;142,5;145,5;2548,8;415,2;2,57;7,58;216,4;362,8
E02;EIXO-B#00;75;72,5;147,5;150,5;2548,8;443,9;3,023;8,5;256,6;423,7
E02;EIXO-B#00;80;72,5;152,5;155,5;2548,8;472,5;3,526;9,42;301,5;490,7
E02;EIXO-B#00;85;72,5;157,5;160,5;2548,8;472,5;4,08;10,38;350,9;563,9
E02;EIXO-B#00;90;72,5;162,5;165,5;2548,8;501,1;4,687;11,31;405,2;643,6
E02;EIXO-B#00;95;72,5;167,5;170,5;2548,8;529,8;5,35;12,32;464,4;730,6
E02;EIXO-B#00;100;72,5;172,5;175,5;2548,8;558,4;6,073;13,33;528,6;824,9
E02;EIXO-B#00;105;72,5;177,5;180,5;2548,8;587,1;6,861;14,27;597,6;926,7
E02;EIXO-B#00;110;72,5;182,5;185,5;2548,8;615,7;7,715;16,2;672,9;1042,4
E02;EIXO-B#00;115;72,5;187,5;190,5;2548,8;673,0;8,64;17,36;756,9;1162,5
E02;EIXO-B#00;120;72,5;192,5;195,5;2548,8;730,2;9,641;18,51;846,6;1291,7
E11;EIXO-C#01;10;71,5;81,5;84,5;12778,1;257,7;0,085;1,7;11,2;23,5
E11;EIXO-C#01;15;71,5;86,5;89,5;12778,1;300,7;0,163;2,21;20,8;36,5
E11;EIXO-C#01;20;71,5;91,5;94,5;12778,1;300,7;0,272;2,7;33,1;52,7
E11;EIXO-C#01;25;71,5;96,5;99,5;12778,1;343,6;0,414;3,12;47,6;72,9
E11;EIXO-C#01;30;71,5;101,5;104,5;12778,1;372,3;0,593;3,52;64,3;97,5
E11;EIXO-C#01;35;71,5;106,5;109,5;12778,1;415,2;0,815;11,23;92,6;171,7
E11;EIXO-C#01;40;71,5;111,5;114,5;12778,1;415,2;1,081;13,49;154,6;217,8
E11;EIXO-C#01;45;71,5;116,5;119,5;12778,1;415,2;1,393;15,53;227,3;268,1
E11;EIXO-C#01;50;71,5;121,5;124,5;12778,1;458,2;1,75;17,25;309,2;322,4
E11;EIXO-C#01;55;71,5;126,5;129,5;12778,1;458,2;2,157;19,16;400,4;383,4
E11;EIXO-C#01;60;71,5;131,5;134,5;12778,1;458,2;2,614;21,06;501,0;450,5
E11;EIXO-C#01;65;71,5;136,5;139,5;12778,1;501,1;3,122;22,96;611,1;524,2
E11;EIXO-C#01;70;71,5;141,5;144,5;12778,1;501,1;3,685;24,86;730,9;604,1
E11;EIXO-C#01;75;71,5;146,5;149,5;12778,1;501,1;4,303;26,83;860,1;691,2
E11;EIXO-C#01;80;71,5;151,5;154,5;12778,1;544,1;4,975;30,09;1001,9;793,1
E11;EIXO-C#01;85;71,5;156,5;159,5;12778,1;587,1;5,712;32,35;1158,1;896,9
E11;EIXO-C#01;90;71,5;161,5;164,5;12778,1;587,1;6,514;34,9;1326,4;1009,8
E11;EIXO-C#01;95;71,5;166,5;169,5;12778,1;587,1;7,38;37,59;1507,6;1131,4
E11;EIXO-C#01;100;71,5;171,5;174,5;12778,1;658,7;8,314;40,45;1702,5;1263,0
E11;EIXO-C#01;105;71,5;176,5;179,5;12778,1;658,7;9,32;43,26;1911,9;1402,3
E11;EIXO-C#01;110;71,5;181,5;184,5;12778,1;658,7;10,398;46,13;2135,3;1550,7
E11;EIXO-C#01;115;71,5;186,5;189,5;12778,1;658,7;11,55;49,18;2373,6;1709,2
E11;EIXO-C#01;120;71,5;191,5;194,5;12778,1;744,6;12,778;52,52;2627,6;1879,6
E13;EIXO-A#02;10;47,0;57,0;60,0;15759,8;300,7;0,112;3,78;20,0;39,8
E13;EIXO-A#02;15;47,0;62,0;65,0;15759,8;329,3;0,213;7,32;45,5;73,9
E13;EIXO-A#02;20;47,0;67,0;70,0;15759,8;358,0;0,353;11,79;92,3;118,4
E13;EIXO-A#02;25;47,0;72,0;75,0;15759,8;415,2;0,533;16,29;163,3;168,2
E13;EIXO-A#02;30;47,0;77,0;80,0;15759,8;501,1;0,761;20,58;256,5;222,9
E13;EIXO-A#02;35;47,0;82,0;85,0;15759,8;587,1;1,046;23,79;367,9;278,0
E13;EIXO-A#02;40;47,0;87,0;90,0;15759,8;587,1;1,396;26,73;494,5;338,4
E13;EIXO-A#02;45;47,0;92,0;95,0;15759,8;587,1;1,81;29,6;635,4;406,1
E13;EIXO-A#02;50;47,0;97,0;100,0;15759,8;615,7;2,289;32,32;790,1;481,1
E13;EIXO-A#02;55;47,0;102,0;105,0;15759,8;644,3;2,837;34,86;958,2;563,4
E13;EIXO-A#02;60;47,0;107,0;110,0;15759,8;673,0;3,457;45,31;1153,1;702,5
E13;EIXO-A#02;65;47,0;112,0;115,0;15759,8;701,6;4,151;49,88;1391,6;814,9
E13;EIXO-A#02;70;47,0;117,0;120,0;15759,8;730,2;4,926;54,22;1652,1;935,8
E13;EIXO-A#02;75;47,0;122,0;125,0;15759,8;758,9;5,784;58,29;1933,5;1065,0
E13;EIXO-A#02;80;47,0;127,0;130,0;15759,8;787,5;6,726;62,55;2236,1;1205,7
E13;EIXO-A#02;85;47,0;132,0;135,0;15759,8;816,2;7,756;66,68;2559,2;1356,3
E13;EIXO-A#02;90;47,0;137,0;140,0;15759,8;844,8;8,875;70,97;2903,6;1518,6
