data;vazao
1940-01-01;22,3509
1940-01-02;21,7546
1940-01-03;20,5798
1940-01-04;19,4292
1940-01-05;19,4292
1940-01-06;33,3622
1940-01-07;25,4205
1940-01-08;22,9532
1940-01-09;18,3031
1940-01-10;16,6609
1940-01-11;16,1262
1940-01-12;20,5798
1940-01-13;16,6609
1940-01-14;18,3031
1940-01-15;34,7617
1940-01-16;572,19
1940-01-17;237,013
1940-01-18;237,013
1940-01-19;198,563
1940-01-20;105,292
1940-01-21;85,7432
1940-01-22;83,0068
1940-01-23;58,1679
1940-01-24;51,5
1940-01-25;84,3732
1940-01-26;266,56
1940-01-27;217,646
1940-01-28;155,243
1940-01-29;110,996
1940-01-30;80,2853
1940-01-31;65,1298
1940-02-01;72,2141
1940-02-02;80,2853
1940-02-03;58,1679
1940-02-04;48,2792
1940-02-05;42,0706
1940-02-06;39,0856
1940-02-07;41,3168
1940-02-08;36,1823
1940-02-09;30,6272
1940-02-10;26,0517
1940-02-11;25,4205
1940-02-12;22,3509
1940-02-13;22,9532
1940-02-14;19,4292
1940-02-15;19,4292
1940-02-16;21,7546
1940-02-17;45,1356
1940-02-18;42,0706
1940-02-19;58,1679
1940-02-20;88,4943
1940-02-21;88,4943
1940-02-22;119,643
1940-02-23;91,2596
1940-02-24;69,556
1940-02-25;45,1356
1940-02-26;36,1823
1940-02-27;33,3622
1940-02-28;26,0517
1940-02-29;24,1752
1940-03-01;20,5798
1940-03-02;18,863
1940-03-03;18,3031
1940-03-04;16,6609
1940-03-05;16,1262
1940-03-06;18,3031
1940-03-07;18,3031
1940-03-08;16,1262
1940-03-09;18,3031
1940-03-10;44,362
1940-03-11;74,8886
1940-03-12;74,8886
1940-03-13;36,9004
1940-03-14;84,3732
1940-03-15;89,8752
1940-03-16;72,2141
1940-03-17;52,3171
1940-03-18;35,4694
1940-03-19;31,3029
1940-03-20;27,3311
1940-03-21;18,863
1940-03-22;17,7494
1940-03-23;17,7494
1940-03-24;27,9793
1940-03-25;37,6236
1940-03-26;72,2141
1940-03-27;255,001
1940-03-28;189,133
1940-03-29;89,8752
1940-03-30;77,5792
1940-03-31;68,2333
1940-04-01;237,013
1940-04-02;263,249
1940-04-03;250,073
1940-04-04;208,068
1940-04-05;161,321
1940-04-06;131,337
1940-04-07;113,866
1940-04-08;165,904
1940-04-09;126,931
1940-04-10;95,4339
1940-04-11;89,8752
1940-04-12;128,397
1940-04-13;108,137
1940-04-14;88,4943
1940-04-15;73,5494
1940-04-16;64,2438
1940-04-17;58,1679
1940-04-18;56,473
1940-04-19;60,7447
1940-04-20;49,0772
1940-04-21;46,6977
1940-04-22;46,6977
1940-04-23;147,701
1940-04-24;138,736
1940-04-25;208,068
1940-04-26;317,52
1940-04-27;216,045
1940-04-28;146,201
1940-04-29;119,643
1940-04-30;89,8752
1940-05-01;70,883
1940-05-02;251,714
1940-05-03;263,249
1940-05-04;144,702
1940-05-05;103,874
1940-05-06;83,0068
1940-05-07;69,556
1940-05-08;62,4852
1940-05-09;56,473
1940-05-10;49,0772
1940-05-11;43,5932
1940-05-12;40,568
1940-05-13;44,362
1940-05-14;49,8801
1940-05-15;45,9142
1940-05-16;45,1356
1940-05-17;36,1823
1940-05-18;31,9839
1940-05-19;27,9793
1940-05-20;21,7546
1940-05-21;23,5613
1940-05-22;24,795
1940-05-23;22,3509
1940-05-24;24,1752
1940-05-25;36,9004
1940-05-26;60,7447
1940-05-27;64,2438
1940-05-28;66,9148
1940-05-29;88,4943
1940-05-30;125,467
1940-05-31;240,267
1940-06-01;161,321
1940-06-02;102,459
1940-06-03;74,8886
1940-06-04;60,7447
1940-06-05;53,9654
1940-06-06;48,2792
1940-06-07;40,568
1940-06-08;38,3521
1940-06-09;36,1823
1940-06-10;36,9004
1940-06-11;39,0856
1940-06-12;37,6236
1940-06-13;36,1823
1940-06-14;37,6236
1940-06-15;54,7966
1940-06-16;98,2339
1940-06-17;91,2596
1940-06-18;70,883
1940-06-19;78,9303
1940-06-20;200,142
1940-06-21;161,321
1940-06-22;115,306
1940-06-23;83,0068
1940-06-24;70,883
1940-06-25;60,7447
1940-06-26;53,1389
1940-06-27;46,6977
1940-06-28;39,8243
1940-06-29;34,7617
1940-06-30;42,0706
1940-07-01;91,2596
1940-07-02;74,8886
1940-07-03;59,0223
1940-07-04;49,8801
1940-07-05;44,362
1940-07-06;37,6236
1940-07-07;34,7617
1940-07-08;29,957
1940-07-09;28,633
1940-07-10;27,3311
1940-07-11;26,6886
1940-07-12;29,2922
1940-07-13;32,6704
1940-07-14;34,0593
1940-07-15;54,7966
1940-07-16;896,875
1940-07-17;475,463
1940-07-18;219,54
1940-07-19;152,521
1940-07-20;121,36
1940-07-21;112,64
1940-07-22;118,833
1940-07-23;106,626
1940-07-24;87,5121
1940-07-25;75,2452
1940-07-26;64,2375
1940-07-27;69,4872
1940-07-28;56,0722
