arquivo;n;tipo;crs;area_km2;ext_km;campos
AREAFIXED.shp;1;Polygon;SEM CRS;;;ID,GRIDCODE
ArrioSNome2.shp;1;Point;EPSG:31982;;;Id
ArroioDoMeio.shp;1;Point;EPSG:31982;;;Id
ArroioEstrela.shp;1;Point;EPSG:31982;;;Id
ArroioGrande.shp;1;Point;EPSG:31982;;;Id
ArroioSNome.shp;1;Point;EPSG:31982;;;Id
ArroioSNome5.shp;1;Point;EPSG:31982;;;Id
ArroioSampaio.shp;0;;EPSG:31982;;;Id
ArroioSampaio2.shp;1;Point;EPSG:31982;;;Id
ArroioSemNome4.shp;1;Point;EPSG:31982;;;Id
Arroio_Boa.shp;1;Point;EPSG:31982;;;Id
BACIA_ARRUMADA.shp;0;;SEM CRS;;;ID,GRIDCODE
BaciaDrenagem1.shp;1;Polygon;EPSG:31982;576.478;;OBJECTID,Id,gridcode,Shape_Leng,Shape_Area
BaciaDrenagem10.shp;1;Polygon;EPSG:32722;194.086;;OBJECTID,Shape_Leng,Shape_Area,HydroID,GridID
BaciaDrenagem2.shp;1;Polygon;EPSG:31982;241.05;;OBJECTID,Id,gridcode,Shape_Leng,Shape_Area
BaciaDrenagem3.shp;1;Polygon;EPSG:31982;254.877;;OBJECTID,Id,gridcode,Shape_Leng,Shape_Area
BaciaDrenagem4.shp;1;MultiPolygon;EPSG:32722;179.925;;OBJECTID,Shape_Leng,Shape_Area,HydroID,GridID
BaciaDrenagem5.shp;1;Polygon;EPSG:32722;59.263;;OBJECTID,Shape_Leng,Shape_Area,HydroID,GridID
BaciaDrenagem6.shp;1;Polygon;EPSG:32722;59.263;;OBJECTID,Shape_Leng,Shape_Area,HydroID,GridID
BaciaDrenagem7.shp;1;Polygon;EPSG:32722;29.993;;OBJECTID,Shape_Leng,Shape_Area,HydroID,GridID
BaciaDrenagem8.shp;1;Polygon;EPSG:32722;35.983;;OBJECTID,Shape_Leng,Shape_Area,HydroID,GridID
BaciaDrenagem9.shp;1;Polygon;EPSG:32722;131.769;;OBJECTID,Shape_Leng,Shape_Area,HydroID,GridID
BaciaExtra.shp;1;Polygon;EPSG:4674;5.131;;fid_1,dra_pk,idbacia,cotrecho,cocursodag,cobacia,nuareacont,nuordemcda,nunivotto1,nunivotto2,nunivotto3,nunivotto4
BaciaMontante.shp;5;Polygon;EPSG:31982;19439.756;;OBJECTID,Id,gridcode,Shape_Leng,Shape_Area
Bacia_Hidrografica_Taquari.shp;5;Polygon;EPSG:31982;23617.87;;OBJECTID,Id,gridcode,Shape_Leng,Shape_Area
Barragem_A.shp;1;Point;EPSG:31983;;;Id
Barragem_A2.shp;1;Point;EPSG:31983;;;Id
Barragem_B.shp;1;Point;EPSG:31983;;;Id
BomRetiroDoSul.shp;1;Polygon;EPSG:4674;102.478;;CD_MUN,NM_MUN,SIGLA_UF,AREA_KM2
Catchments.shp;1;MultiPolygon;EPSG:32722;165.919;;OBJECTID,Shape_Leng,Shape_Area,HydroID,GridID
Colinas.shp;1;Polygon;EPSG:4674;60.694;;CD_MUN,NM_MUN,SIGLA_UF,AREA_KM2
CruzeiroDoSul.shp;1;Polygon;EPSG:4674;154.972;;CD_MUN,NM_MUN,SIGLA_UF,AREA_KM2
DrenagemTaquariBacia.shp;0;;EPSG:4674;;;fid,drn_pk,cotrecho,noorigem,nodestino,cocursodag,cobacia,nucomptrec,nudistbact,nudistcdag,nuareacont,nuareamont
Drenagem_Bacia_Fim.shp;672;LineString,MultiLineString;EPSG:4674;;10082.98;fid_1,wtc_pk,idcda,cocursodag,nudistbacc,nucompcda,nuareabacc,cocdadesag,nunivotcda,nuordemcda,dedominial,dsversao
Drenagem_Bacia_Taquari.shp;30459;LineString,MultiLineString;EPSG:4674;;32311.275;fid,drn_pk,cotrecho,noorigem,nodestino,cocursodag,cobacia,nucomptrec,nudistbact,nudistcdag,nuareacont,nuareamont
Eclusa-BomRetiro.shp;1;Point;EPSG:31982;;;Id
Estacoes_Pluviometricas.shp;3040;Point;EPSG:4674;;;codigo,codalt,nome,rio,respon,operad,dini,dfim,anoini,anofim,emoper,adkm2
Estrela.shp;1;Polygon;EPSG:4674;184.915;;CD_MUN,NM_MUN,SIGLA_UF,AREA_KM2
Fim.shp;1;Point;EPSG:31982;;;Id
Hidrografia.shp;482349;LineString;EPSG:4674;;3456712.587;fid_1,drn_pk,cotrecho,noorigem,nodestino,cocursodag,cobacia,nucomptrec,nudistbact,nudistcdag,nuareacont,nuareamont
Inicio.shp;1;Point;EPSG:31982;;;Id
Lajeado.shp;1;Polygon;EPSG:4674;91.179;;CD_MUN,NM_MUN,SIGLA_UF,AREA_KM2
Levantamento Topografico ME.shp;0;;EPSG:31982;;;Id
Levantamento Topografico.shp;1;Polygon;EPSG:31982;24.187;;Id,AREA_km2
LevantamentoME.shp;71;Point;EPSG:31982;;;Id,AREA_km2,ORIG_FID,X,Y
LevantamentoTopografico ME.shp;1;Polygon;EPSG:31982;48.174;;Id,AREA_km2
Levantamento_Topografico.shp;1;Polygon;EPSG:31982;139.401;;Id,AREA_km2
Limite Jusante.shp;1;Point;EPSG:20822;;;Id
LimiteMontante.shp;1;Point;EPSG:31982;;;Id
Municipios.shp;499;MultiPolygon,Polygon;EPSG:4674;281989.509;;CD_MUN,NM_MUN,SIGLA_UF,AREA_KM2
Municipios_RS.shp;499;MultiPolygon,Polygon;EPSG:4674;281989.509;;CD_MUN,NM_MUN,SIGLA_UF,AREA_KM2
PontoDrenagem1.shp;1;Point;EPSG:31982;;;Id
PontoDrenagem2.shp;1;Point;EPSG:31982;;;Id
PontoDrenagem3.shp;1;Point;EPSG:31982;;;Id
RS.shp;1;MultiPolygon;EPSG:4674;281989.509;;CD_UF,NM_UF,SIGLA_UF,NM_REGIAO,AREA_KM2
Refinamento.shp;1;LineString;EPSG:31982;;35.942;Id
RioForqueta.shp;1;Point;EPSG:31982;;;Id
Rodovia_Estadual.shp;15589;LineString;EPSG:4674;;271407.249;OBJECTID,ROD_KM_INI,ROD_KM_FIN,ROD_KM_EXT,SNV_ROD_CO,UF_SIGLA,ROD_ADM_NO,ROD_CODIGO,SNV_ROD_SU,ROD_CON_DE,ROD_FON_DE,br
Rodovia_Federal.shp;6981;LineString;EPSG:4674;;128925.111;id_trecho_,vl_br,sg_uf,nm_tipo_tr,sg_tipo_tr,desc_coinc,vl_codigo,ds_local_i,ds_local_f,vl_km_inic,vl_km_fina,vl_extensa
Trecho Modelagem.shp;1;LineString;EPSG:31982;;51.722;Id,Length
arroioSemNome3.shp;2;Point;EPSG:31982;;;Id
baciaarroioestrela.shp;1;Polygon;EPSG:31982;241.05;;ID,GRIDCODE
baciaarroiosampaio.shp;1;Polygon;EPSG:31982;254.84;;ID,GRIDCODE
baciadrenagem_forqueta.shp;2;Polygon;EPSG:31982;2844.844;;ID,GRIDCODE
baciadrenagemarroioboa.shp;1;Polygon;EPSG:31982;576.475;;ID,GRIDCODE
baciadrenagemarroiodomeio.shp;1;Polygon;EPSG:31982;24.339;;ID,GRIDCODE
baciadrenagemarroiogrande.shp;1;Polygon;EPSG:31982;60.88;;ID,GRIDCODE
baciadrenagemarroiosnome.shp;1;Polygon;EPSG:31982;55.292;;ID,GRIDCODE
baciadrenagemfim.shp;5;Polygon;EPSG:31982;23698.916;;ID,GRIDCODE,AREA_km2
baciadrenageminicio.shp;5;Polygon;EPSG:31982;19439.771;;ID,GRIDCODE
baciadrenagemriosemnome3.shp;1;Polygon;EPSG:31982;18.025;;ID,GRIDCODE
baciariosemnome2.shp;2;Polygon;EPSG:31982;9.541;;ID,GRIDCODE
baciasemnome4.shp;1;Polygon;EPSG:31982;35.583;;ID,GRIDCODE
baciasemnome5.shp;1;Polygon;EPSG:31982;29.941;;ID,GRIDCODE
cursoDaguaBHAE.shp;241163;LineString,MultiLineString;EPSG:4674;;3407269.966;fid_1,wtc_pk,idcda,cocursodag,nudistbacc,nucompcda,nuareabacc,cocdadesag,nunivotcda,nuordemcda,dedominial,dsversao
geoft_bho_rio.shp;54267;LineString,MultiLineString;EPSG:4674;;1272124.446;IDRIO,CORIO,NORIOCOMP,NUDISTBACR,NUCOMPRIO,DSVERSAO
levantamentoTopograficoMD.shp;86;Point;EPSG:31982;;;Id,AREA_km2,ORIG_FID,LONG,LAT
mancha_v3_1.shp;24459;MultiPolygon,Polygon;EPSG:4674;15930.185;;fid,id,area
pedaco1.shp;1;Polygon;EPSG:4674;38.221;;fid_1,dra_pk,idbacia,cotrecho,cocursodag,cobacia,nuareacont,nuordemcda,nunivotto1,nunivotto2,nunivotto3,nunivotto4
pedaco2.shp;1;Polygon;EPSG:4674;26.674;;fid_1,dra_pk,idbacia,cotrecho,cocursodag,cobacia,nuareacont,nuordemcda,nunivotto1,nunivotto2,nunivotto3,nunivotto4
pedaco3.shp;1;Polygon;EPSG:4674;5.131;;fid_1,dra_pk,idbacia,cotrecho,cocursodag,cobacia,nuareacont,nuordemcda,nunivotto1,nunivotto2,nunivotto3,nunivotto4
pedaco4.shp;1;Polygon;EPSG:4674;2.093;;fid_1,dra_pk,idbacia,cotrecho,cocursodag,cobacia,nuareacont,nuordemcda,nunivotto1,nunivotto2,nunivotto3,nunivotto4
pedaco5.shp;1;Polygon;EPSG:4674;6.935;;fid_1,dra_pk,idbacia,cotrecho,cocursodag,cobacia,nuareacont,nuordemcda,nunivotto1,nunivotto2,nunivotto3,nunivotto4
pedaco6.shp;1;Polygon;EPSG:4674;3.343;;fid_1,dra_pk,idbacia,cotrecho,cocursodag,cobacia,nuareacont,nuordemcda,nunivotto1,nunivotto2,nunivotto3,nunivotto4
pedaco7.shp;1;Polygon;EPSG:4674;2.3;;fid_1,dra_pk,idbacia,cotrecho,cocursodag,cobacia,nuareacont,nuordemcda,nunivotto1,nunivotto2,nunivotto3,nunivotto4
pedaco8.shp;1;Polygon;EPSG:4674;24.759;;fid_1,dra_pk,idbacia,cotrecho,cocursodag,cobacia,nuareacont,nuordemcda,nunivotto1,nunivotto2,nunivotto3,nunivotto4
pedaco9.shp;1;Polygon;EPSG:4674;25.379;;fid_1,dra_pk,idbacia,cotrecho,cocursodag,cobacia,nuareacont,nuordemcda,nunivotto1,nunivotto2,nunivotto3,nunivotto4
rioSemNome.shp;0;;EPSG:31982;;;Id
